country,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,population,continent
Afghanistan,45.270844,56.59291,40578846.0,Asia
Albania,45.244244,109.242805,2827615.0,Europe
Algeria,14.251447,33.5715,45477391.0,Africa
Andorra,67.10946,197.02466,79722.0,Europe
Angola,26.965265,78.06682,35635028.0,Africa
Anguilla,73.10238,175.07393,14202.0,North America
Antigua and Barbuda,67.18722,147.02264,92851.0,North America
Argentina,76.860214,257.6171,45407904.0,South America
Armenia,35.77924,78.341225,2880883.0,Asia
Aruba,78.26926,162.269,107792.0,North America
Australia,82.62102,228.55003,26200987.0,Oceania
Austria,73.72862,225.80757,9064679.0,Europe
Azerbaijan,47.230198,134.59639,10295307.0,Asia
Bahamas,42.000885,92.15559,397544.0,North America
Bahrain,80.00188,226.71835,1533459.0,Asia
Bangladesh,83.95181,213.56247,169384890.0,Asia
Barbados,54.91811,136.0313,282324.0,North America
Belarus,69.93162,245.39854,9173241.0,Europe
Belgium,78.77592,270.31345,11641813.0,Europe
Belize,54.992664,126.90687,402741.0,North America
Benin,19.934122,30.760847,13759507.0,Africa
Bermuda,73.576546,203.8566,64772.0,North America
Bhutan,86.77829,257.57132,780920.0,Asia
Bolivia,51.010235,121.63899,12077155.0,South America
Bonaire Sint Eustatius and Saba,58.407204,125.09597,28654.0,North America
Bosnia and Herzegovina,26.400358,60.064495,3204805.0,Europe
Botswana,68.17876,129.99194,2439895.0,Africa
Brazil,83.76549,231.2989,210306411.0,South America
British Virgin Islands,47.624138,108.10818,38344.0,North America
Brunei,98.09827,283.9644,455374.0,Asia
Bulgaria,30.443125,69.24566,6825863.0,Europe
Burkina Faso,23.245539,35.068623,22509037.0,Africa
Burundi,0.27265763,0.317181,13321101.0,Africa
Cambodia,85.41749,278.03415,17201717.0,Asia
Cameroon,11.570631,17.66226,27632771.0,Africa
Canada,81.806335,249.61441,38821260.0,North America
Cape Verde,59.39779,165.45262,519750.0,Africa
Cayman Islands,84.76029,212.4705,71609.0,North America
Central African Republic,48.74395,65.559494,5098038.0,Africa
Chad,27.202782,49.588768,18455319.0,Africa
Chile,90.52364,320.60934,19553032.0,South America
China,90.12756,246.76755,1425179562.0,Asia
Colombia,71.90879,175.75339,51737944.0,South America
Comoros,47.60055,100.09938,834192.0,Africa
Congo,10.838565,13.806052,6035107.0,Africa
Cook Islands,99.87116,277.03262,14747.0,Oceania
Costa Rica,85.989494,267.16968,5081765.0,North America
Cote d'Ivoire,40.020737,83.118706,30395003.0,Africa
Croatia,57.63479,137.56297,3907031.0,Europe
Cuba,90.902534,415.88147,11059821.0,North America
Curacao,54.429165,140.4492,185351.0,North America
Cyprus,69.774,201.15326,1331376.0,Europe
Czechia,64.60811,178.45706,10673216.0,Europe
Democratic Republic of Congo,14.062447,18.368385,102396974.0,Africa
Denmark,79.82523,253.46054,5902898.0,Europe
Djibouti,35.28344,38.888313,1137100.0,Africa
Dominica,45.862377,101.19222,66850.0,North America
Dominican Republic,54.586662,146.30467,11230734.0,North America
East Timor,58.552513,148.16325,1369299.0,Asia
Ecuador,79.94636,222.08992,17823900.0,South America
Egypt,37.59353,100.04909,112618251.0,Africa
El Salvador,70.025406,182.46611,6280316.0,North America
Equatorial Guinea,11.867262,27.098667,1803550.0,Africa
Estonia,63.902237,160.84238,1350092.0,Europe
Eswatini,35.058464,71.39142,1218921.0,Africa
Ethiopia,34.815372,54.916607,125384285.0,Africa
Falkland Islands,50.497868,125.37695,3515.0,South America
Faroe Islands,75.67683,192.25745,54039.0,Europe
Fiji,69.73836,169.14668,919428.0,Oceania
Finland,78.05494,239.29619,5569299.0,Europe
France,80.257324,233.10094,66277412.0,Europe
French Polynesia,66.6228,179.37651,280389.0,Oceania
Gabon,10.5922365,23.559458,2430752.0,Africa
Gambia,20.451035,54.788803,2636473.0,Africa
Georgia,33.62967,77.2291,3794783.0,Asia
Germany,75.596375,229.81345,84086228.0,Europe
Ghana,32.519695,77.30161,33149151.0,Africa
Gibraltar,110.18841,352.9271,37631.0,Europe
Greece,73.44144,215.7793,10412481.0,Europe
Greenland,68.75246,142.3537,56014.0,North America
Grenada,33.38294,77.55713,116928.0,North America
Guatemala,39.953743,114.20672,17847877.0,North America
Guernsey,82.684944,280.048,63748.0,Europe
Guinea,41.65018,85.7303,14055137.0,Africa
Guinea-Bissau,26.009375,43.73003,2105537.0,Africa
Guyana,46.79773,117.796814,821636.0,South America
Haiti,3.1845584,5.912095,11503604.0,North America
Honduras,55.941853,163.17905,10463881.0,North America
Hong Kong,91.12465,281.44434,7465914.0,Asia
Hungary,64.09039,172.45674,9684306.0,Europe
Iceland,78.32783,237.51314,380368.0,Europe
India,66.78652,154.82195,1425423212.0,Asia
Indonesia,62.749634,160.74275,278830529.0,Asia
Iran,65.44067,173.65324,89524247.0,Asia
Iraq,18.0274,44.37739,44070556.0,Asia
Ireland,79.56113,218.16542,5110013.0,Europe
Isle of Man,79.75138,225.79625,84144.0,Europe
Israel,70.148636,207.09949,9103144.0,Asia
Italy,83.00122,252.13652,59619106.0,Europe
Jamaica,26.796743,53.85811,2839151.0,North America
Japan,82.76578,346.692,124997586.0,Asia
Jersey,79.11839,257.94305,103493.0,Europe
Jordan,40.495777,89.35444,11256268.0,Asia
Kazakhstan,44.9735,104.41271,20034612.0,Asia
Kenya,20.442282,43.777615,54252456.0,Africa
Kiribati,62.441277,168.5916,130481.0,Oceania
Kosovo,48.027126,106.955734,1717950.0,Europe
Kuwait,72.90916,180.00209,4589514.0,Asia
Kyrgyzstan,20.2136,52.63721,6955792.0,Asia
Laos,69.08866,146.99107,7559007.0,Asia
Latvia,69.427734,153.94081,1881058.0,Europe
Lebanon,42.02673,101.22213,5744494.0,Asia
Lesotho,41.03421,58.575302,2286112.0,Africa
Liberia,69.43535,83.01549,5373296.0,Africa
Libya,17.111511,51.76162,7223804.0,Africa
Lithuania,66.77878,163.47127,2816922.0,Europe
Luxembourg,5.796276,21.649248,653316.0,Europe
